asof,mm_net,or_net,oi,release,price_asof,price_entry,fwd_1w,fwd_2w,fwd_4w,mm_chg,mm_z_full,mm_z_roll52,mm_pct_rank,or_chg,or_z_full,or_z_roll52,or_pct_rank
2016-01-05,49436,134741,1703201,2016-01-08,35.97,33.2,-0.11295180722891573,-0.03403614457831328,-0.0704819277108435,,-1.453251594667833,,0.051188299817184646,,-0.09303104295913897,,0.49725776965265084
2016-01-12,36372,127132,1756232,2016-01-15,30.42,29.45,0.08896434634974537,0.14295415959252966,-0.00441426146010182,-13064.0,-1.5737205515575243,,0.038391224862888484,-7609.0,-0.19946506245234386,,0.48080438756855576
2016-01-19,56663,122709,1686382,2016-01-22,28.47,32.07,0.04957904583723094,-0.037729965700031176,-0.07733083879014657,20291.0,-1.3866082119793914,,0.056672760511883,-4423.0,-0.26133359553401625,,0.4606946983546618
2016-01-26,77084,128626,1761883,2016-01-29,29.54,33.66,-0.08318478906714188,-0.12893642305407005,-0.059714795008912636,20421.0,-1.1982970845571326,,0.09872029250457039,5917.0,-0.1785671224966535,,0.4844606946983547
2016-02-02,66270,130603,1855603,2016-02-05,29.9,30.86,-0.04990278677900195,-0.04115359688917697,0.16364225534672716,-10814.0,-1.2980177902984924,,0.06946983546617916,1977.0,-0.1509130212299869,,0.48811700182815354
2016-02-09,72403,115474,1854379,2016-02-12,27.96,29.32,0.009208731241473478,0.07946793997271473,0.3134379263301499,6133.0,-1.2414626683906174,,0.08409506398537477,-15129.0,-0.3625361360824901,,0.43875685557586835
2016-02-16,57861,101126,1840051,2016-02-19,29.05,29.59,0.06961811422777964,0.21358567083474145,0.3338965866846908,-14542.0,-1.3755609209235242,,0.05850091407678245,-14348.0,-0.5632346919621726,,0.37294332723948814
2016-02-23,102252,103604,1776696,2016-02-26,31.84,31.65,0.1345971563981041,0.2167456556082148,0.2050552922590838,44391.0,-0.9662117579343712,,0.18281535648994515,2478.0,-0.528572646975425,,0.38939670932358317
2016-03-01,124411,88107,1800298,2016-03-04,34.39,35.91,0.07240323029796714,0.09913673071567808,-0.015316067947646839,22159.0,-0.7618737591806454,,0.23948811700182815,-15497.0,-0.7453433133029578,,0.30895795246800734
2016-03-08,165251,79001,1816474,2016-03-11,36.67,38.51,0.02492858997662939,-0.009607894053492494,0.03193975590755649,40840.0,-0.3852699472260373,,0.4113345521023766,-9106.0,-0.8727172364867039,,0.24862888482632542
2016-03-15,194945,74911,1782857,2016-03-18,36.32,39.47,-0.033696478337978175,-0.10412971877375221,0.02356219913858637,29694.0,-0.11144836073778726,,0.5045703839122486,-4090.0,-0.9299277949999392,,0.2230347349177331
2016-03-22,226086,81891,1705631,2016-03-25,41.45,38.14,-0.07288935500786575,0.04195070791819622,0.12113266911379128,31141.0,0.1757166566000788,,0.6087751371115173,6980.0,-0.832292171913782,,0.26508226691042047
2016-03-29,209182,96329,1734511,2016-04-01,36.91,35.36,0.12386877828054299,0.14253393665158365,0.30033936651583715,-16904.0,0.01983735108390116,,0.546617915904936,14438.0,-0.630334703988576,,0.35283363802559414
2016-04-05,176508,113622,1773774,2016-04-08,34.52,39.74,0.016607951685958744,0.07599396074484144,0.12179164569703049,-32674.0,-0.28146414136969494,,0.4515539305301645,17293.0,-0.3884417483970407,,0.4351005484460695
2016-04-12,201020,88141,1803510,2016-04-15,42.12,40.4,0.05841584158415847,0.13811881188118802,0.14405940594059397,24512.0,-0.05542808263729157,,0.5228519195612431,-25481.0,-0.7448677243079822,,0.31078610603290674
2016-04-19,221871,112304,1714186,2016-04-22,40.88,42.76,0.07530402245088874,0.04256314312441534,0.11482694106641733,20851.0,0.13684826611553735,,0.5886654478976234,24163.0,-0.40687781590815175,,0.43327239488117003
2016-04-26,223467,110798,1714689,2016-04-29,42.52,45.98,-0.030448020878642845,0.005219660722053154,0.07351022183558076,1596.0,0.15156569226342065,,0.5978062157221207,-1506.0,-0.4279436108032453,,0.4259597806215722
2016-05-03,212757,105787,1748628,2016-05-06,43.65,44.58,0.036787797218483576,0.06931359353970401,0.09219380888290707,-10710.0,0.05280401679736159,,0.56672760511883,-5011.0,-0.49803703591567133,,0.40585009140767825
2016-05-10,191731,100229,1724987,2016-05-13,44.68,46.22,0.03137170056252714,0.06793595845954137,0.06209433145824339,-21026.0,-0.1410860848225598,,0.4954296160877514,-5558.0,-0.575781848682557,,0.3692870201096892
2016-05-17,221826,146943,1698980,2016-05-20,48.29,47.67,0.035452066289070716,0.021397105097545444,0.006922592825676421,30095.0,0.1364333010925707,,0.5868372943327239,46714.0,0.07764945459061609,,0.5502742230347349
2016-05-24,210985,137157,1657419,2016-05-27,48.04,49.36,-0.013573743922204229,-0.005470016207455353,-0.053889789303079305,-10841.0,0.03646361633743099,,0.5575868372943327,-9786.0,-0.059236248492640996,,0.5100548446069469
2016-05-31,210646,136356,1709540,2016-06-03,49.1,48.69,0.008215239268843932,-0.014171287738755312,0.0067775723967962165,-339.0,0.03333754649774901,,0.5557586837294333,-801.0,-0.0704405656978003,,0.506398537477148
2016-06-07,192591,132591,1748314,2016-06-10,50.37,49.09,-0.02220411489101659,-0.048686086779384796,-0.07577918109594639,-18055.0,-0.13315564216141967,,0.5009140767824497,-3765.0,-0.12310505293553409,,0.49177330895795246
2016-06-14,152698,159887,1774350,2016-06-17,48.49,48.0,-0.027083333333333237,0.02124999999999999,-0.04312499999999997,-39893.0,-0.5010267457438188,,0.35283363802559414,27296.0,0.2587089825601317,,0.6051188299817185
2016-06-21,180976,137619,1726381,2016-06-24,48.95,46.7,0.04967880085653098,-0.028479657387580404,-0.07044967880085662,28278.0,-0.2402627253115855,,0.473491773308958,-22268.0,-0.05277383332562027,,0.5137111517367459
2016-06-28,152611,151628,1720740,2016-07-01,47.93,49.02,-0.0744594043247655,-0.06303549571603428,-0.15259077927376585,-28365.0,-0.5018290114548876,-0.0119648820443501,0.3491773308957952,14009.0,0.1431828205159236,1.556342878834072,0.5685557586837294
2016-07-05,145365,154307,1751823,2016-07-08,46.73,45.37,0.012342957901697149,-0.04320035265594002,-0.07802512673572848,-7246.0,-0.5686476015974706,-0.12221211284323824,0.31992687385740404,2679.0,0.18065643573767362,1.5631780653836875,0.5868372943327239
2016-07-12,154529,140266,1728765,2016-07-15,46.82,45.93,-0.05486610058785113,-0.09558023078597866,-0.031787502721532745,9164.0,-0.48414228003155413,0.022465695378796714,0.360146252285192,-14041.0,-0.015747831275611947,0.9344685674989291,0.5246800731261426
2016-07-19,136086,153495,1685116,2016-07-22,44.64,43.41,-0.04307763188205482,-0.036397143515318975,0.1167933655839668,-18443.0,-0.6542133893331907,-0.2697587843346552,0.283363802559415,13229.0,0.16929825150472813,1.417033562172206,0.5813528336380256
2016-07-26,100607,172692,1718306,2016-07-29,42.16,41.54,0.006981222917669783,0.07053442465093895,0.14684641309581137,-35479.0,-0.9813810348850404,-0.826924248874338,0.1773308957952468,19197.0,0.4378241908148943,2.0206056012645304,0.6544789762340036
2016-08-02,64691,202501,1792640,2016-08-05,39.5,41.83,0.06311259861343532,0.15897681090126703,0.0612000956251495,-35916.0,-1.3125784518821437,-1.3521877809269818,0.06764168190127971,29809.0,0.8547898482039,2.724114410592017,0.7751371115173674
2016-08-09,74984,183266,1829979,2016-08-12,42.78,44.47,0.09017315043849772,0.07128401169327647,0.03170676860805055,10293.0,-1.217662118962242,-1.1417425694392023,0.09140767824497258,-19235.0,0.5857323682522906,1.9031760100047534,0.7111517367458866
2016-08-16,133577,173923,1852402,2016-08-19,46.57,48.48,-0.01732673267326723,-0.08436468646864681,-0.11221122112211213,58593.0,-0.6773499947248193,-0.19335598350037578,0.27056672760511885,-9343.0,0.4550433100153326,1.5125558118906601,0.6654478976234004
2016-08-23,220106,133638,1747499,2016-08-26,47.54,47.64,-0.06821998320738876,-0.03694374475230899,-0.06884970612930308,86529.0,0.12057241577029044,1.1796109697763901,0.5776965265082267,-40285.0,-0.10845970947261051,0.20505935866872277,0.4936014625228519
2016-08-30,195716,145572,1787891,2016-09-02,46.32,44.39,0.03356611849515656,-0.0304122550123902,0.07501689569722902,-24390.0,-0.10433862667762558,0.764960989989623,0.5082266910420475,11934.0,0.058472027763807846,0.5854353407564757,0.546617915904936
2016-09-06,148352,137443,1861718,2016-09-09,44.85,45.88,-0.0619006102877071,-0.033129904097646046,0.08456843940714909,-47364.0,-0.5411031455174409,-0.009791355297101203,0.3436928702010969,-8129.0,-0.0552357057701996,0.3110818619360138,0.5118829981718465
2016-09-13,170395,142907,1829620,2016-09-16,44.91,43.04,0.03066914498141271,0.10873605947955389,0.16984200743494426,22043.0,-0.33783483437847356,0.35051197126728717,0.43144424131627057,5464.0,0.021194243304694813,0.48621412204845516,0.5319926873857403
2016-09-20,128554,150319,1811705,2016-09-23,43.85,44.36,0.07574391343552755,0.12173128944995493,0.1408926961226331,-41841.0,-0.7236693127328505,-0.34687530544516937,0.24862888482632542,7412.0,0.1248726442093649,0.7227629129613036,0.5612431444241316
2016-09-27,154939,136707,1830991,2016-09-30,44.65,47.72,0.042749371332774455,0.055113160100586756,0.020955574182732528,26385.0,-0.48036148760008035,0.10009080256813963,0.36380255941499084,-13612.0,-0.06553080872025858,0.2544998166004077,0.5082266910420475
2016-10-04,222831,140145,1871665,2016-10-07,48.67,49.76,0.01185691318327975,0.01708199356913176,-0.11434887459807075,67892.0,0.1457008532721589,1.2281027010388936,0.5959780621572212,3438.0,-0.017440368581260232,0.3679704368340961,0.5228519195612431
2016-10-11,254375,159275,1880412,2016-10-14,50.72,50.35,0.005163853028798293,-0.03237338629592856,-0.1382323733862959,31544.0,0.43658211292681504,1.6825717611765727,0.6819012797074955,19130.0,0.25014838065057177,1.0104403779819282,0.5996343692870201
2016-10-18,264486,143509,1811281,2016-10-21,50.3,50.61,-0.03734439834024894,-0.12922347362181386,-0.09721398933017189,10111.0,0.5298201428649405,1.758687690612053,0.7111517367458866,-15766.0,0.02961496609808545,0.45330432208138244,0.5356489945155393
2016-10-25,244625,158961,1821737,2016-10-28,49.45,48.72,-0.0954433497536945,-0.10940065681444988,-0.04105090311986859,-19861.0,0.3466730246173775,1.3866540634387496,0.6581352833638026,15452.0,0.24575617640285638,0.9750964743980994,0.5978062157221207
2016-11-01,211409,142990,1854612,2016-11-04,46.66,44.07,-0.015429997730882716,0.036759700476514556,0.1731336510097572,-33216.0,0.040373508998272176,0.8371218028054342,0.5594149908592322,-15971.0,0.022355239968899834,0.40643921409412775,0.5338208409506399
2016-11-08,130892,146647,1973656,2016-11-11,44.96,43.39,0.05300760543904115,0.07674579396174219,0.18713989398478903,-80517.0,-0.7021095744284952,-0.45263277696718496,0.2595978062157221,3657.0,0.0735090327520054,0.5289458350028778,0.5484460694698354
2016-11-15,123893,152433,2027539,2016-11-18,45.86,45.69,0.022543226088859836,0.13153862989713305,0.1365725541694025,-6999.0,-0.7666504676672391,-0.5581592412154429,0.2376599634369287,5786.0,0.15444308936755063,0.7242873657966487,0.5740402193784278
2016-11-22,154821,121499,1995504,2016-11-25,48.07,46.72,0.10659246575342474,0.10252568493150682,0.11322773972602729,30928.0,-0.48144961810474846,-0.05156676334436426,0.3619744058500914,-30934.0,-0.2782589685904991,-0.3867753912464997,0.45521023765996343
